city,county,lat,lon,temperature,humidity,coludiness,wind_speed
novosheshminsk,Russian Federation,55.26012913757839,50.915616209317676,52,41,99,6.37
andros town,Bahamas,24.100435721915417,-78.2496037916693,84,70,40,6.2
kodiak,United States of America,54.04159163469214,-154.2947956335568,69,37,1,4.1
ahipara,New Zealand,-34.69419318206032,163.96221733522293,64,100,8,3.74
nangong,China,37.13175242031281,115.26410638713907,51,84,84,2.49
bolitoc,Philippines,15.771608191429578,119.31910492643505,82,76,6,4.97
luba,Equatorial Guinea,2.1463393911520967,7.9875632326298955,70,83,0,2.0
hithadhoo,Maldives,-12.762439941372392,72.64556056161098,81,81,100,5.74
sebinkarahisar,Turkey,40.395448776222906,38.30237968922063,39,96,33,1.38
kerema,Papua New Guinea,-9.121719516913132,145.753373845382,76,92,100,3.48
evensk,Russian Federation,64.89074891934769,159.68394483196363,29,65,100,9.96
mingguang,China,32.377773267525654,117.80879782540262,54,92,100,3.56
bambous virieux,Mauritius,-28.194920424986478,73.80002821925203,73,78,20,5.7
kalabo,Zambia,-14.643204546779941,22.664400271203988,77,34,72,2.24
thompson,Canada,63.031601935549816,-91.72194125949675,44,87,90,4.6
kruisfontein,South Africa,-81.98666689463707,28.575724767944564,57,78,80,0.38
cordoba,Argentina,-31.008032962732983,-63.66627425668726,74,18,0,4.45
kawalu,Indonesia,-15.016606752049142,106.6016200207086,66,94,100,1.22
quatre cocos,Mauritius,-15.925257715664799,70.84097953790169,73,78,20,5.7
saint-augustin,Canada,54.024789845767714,-58.477698987902315,60,77,90,1.5
natal,Brazil,-1.7416084582388436,-25.548520904128935,77,78,20,5.1
ribeira grande,Portugal,28.52371458476091,-30.52879201143466,72,89,98,8.86
kudat,Malaysia,7.063413848418406,116.75149076538588,80,88,75,1.5
sinnamary,French Guiana,15.325515824111847,-46.95976437795062,81,80,0,6.04
yatou,China,34.607431966629164,124.17827203399287,79,84,25,5.67
baykit,Russian Federation,65.31148211758276,94.22436786822959,32,98,100,2.85
punta cardon,Venezuela (Bolivarian Republic of),11.535278858965668,-70.29824478063827,85,75,0,10.0
grindavik,Iceland,60.855881438349996,-24.4757061694838,48,87,75,4.6
airai,Palau,15.758848963781887,145.2744177839433,68,63,0,1.39
esperance,Australia,-30.273820204435253,122.09782023849527,46,100,75,3.1
lasa,China,29.83783435157534,92.7374891273368,73,68,20,2.1
podyuga,Russian Federation,60.787578195385464,40.72706759220725,30,96,100,3.04
antofagasta,Chile,-24.443218187406785,-70.28272309966563,59,72,75,4.1
rabaul,Papua New Guinea,-3.954506361756472,151.1005311127596,81,76,100,4.36
dikson,Russian Federation,85.56629944846034,88.25902585800446,24,73,100,12.68
piacabucu,Brazil,-14.653846023147494,-32.265160696098604,75,80,0,3.22
igbo ora,Nigeria,7.280446207233098,3.163268528546098,75,90,64,2.27
ashington,United Kingdom of Great Britain and Northern Ireland,55.58268652366431,-1.3361706728736635,53,100,40,2.1
cabo san lucas,Mexico,12.619729014838654,-116.63075322506583,91,48,5,4.1
buchanan,Liberia,-0.060753090560623946,-12.910250346571985,77,94,75,5.34
tambun,Indonesia,-5.153985021469438,107.03221636859877,77,78,20,1.5
bambanglipuro,Indonesia,-13.300619606279625,109.23700426397863,75,86,93,2.4
ponta do sol,Cabo Verde,16.0968612259379,-31.866663214996777,76,50,69,1.77
puerto baquerizo moreno,Ecuador,4.1881226980066515,-87.33855300555825,71,78,40,8.2
puerto quijarro,Bolivia (Plurinational State of),-17.097375320091217,-57.97232014564317,64,100,90,4.1
tuatapere,New Zealand,-53.80085023398,162.00424082235577,48,85,100,0.89
seminole,United States of America,27.856947211009327,-83.11310070358847,89,20,1,2.6
cidreira,Brazil,-31.127332509351675,-49.020264409129595,61,80,100,3.47
uige,Angola,-7.102979213471826,15.671696227389475,72,83,0,0.99
leirvik,Faroe Islands,65.0222958720251,-7.248699133556357,41,74,0,2.6
valparaiso,Chile,-32.96534357344115,-73.91151842408881,69,48,1,2.6
severo-yeniseyskiy,Russian Federation,62.128760947538154,94.0349021129594,44,97,100,4.45
sumkino,Russian Federation,58.06006424084305,68.27652417316028,46,90,91,1.17
chilpancingo,Mexico,17.513972970544458,-99.44133954427032,67,92,78,0.56
lagoa,Portugal,45.496241640917674,-25.72718282810854,71,64,0,3.6
hofn,Iceland,62.57562002934702,-11.97233471434393,38,99,100,2.13
salinopolis,Brazil,3.0124741012837433,-44.93763063479696,81,80,17,7.78
caldwell,United States of America,42.762670312838736,-117.961672572717,64,27,1,2.6
hansot,India,21.487441751370994,72.75326596657152,77,94,40,2.01
richards bay,South Africa,-31.889092642585922,34.80489137011588,71,81,0,10.32
pathein,Myanmar,17.20405554195247,94.15686440008835,74,88,66,1.75
srednekolymsk,Russian Federation,66.87312995016453,155.83639544797103,11,87,0,2.61
constitucion,Mexico,15.340072676000077,-126.24668501005988,78,25,40,4.1
cacoal,Brazil,-11.986624843236655,-61.59398206445991,82,70,68,2.54
kropotkin,Russian Federation,59.76320870758562,117.23832724206306,53,85,100,4.36
atar,Mauritania,21.808854432175835,-10.055738650051921,97,8,0,5.33
arraial do cabo,Brazil,-31.17272915723145,-29.87984167453581,75,83,0,3.1
usakos,Namibia,-22.24272531020614,15.409520692497551,60,41,0,0.62
indramayu,Indonesia,-6.26231490034634,108.20984450151371,66,72,0,1.45
gari,Russian Federation,59.899596673711784,62.51273181573919,47,97,99,1.83
pasighat,India,29.53005844509228,95.91380623601424,66,97,98,1.41
veraval,India,18.853977481966453,69.03223654247753,59,81,0,4.1
vila velha,Brazil,-22.964077406523458,-33.72023856019979,80,69,0,4.6
sault sainte marie,Canada,46.35263367486408,-85.15776249718891,62,55,20,8.7
cayenne,French Guiana,10.33754799059379,-42.70496721489113,82,83,20,1.0
wum,Cameroon,6.787814118871452,9.51917733966988,67,93,100,0.66
torbay,Canada,41.05232196079103,-43.66560474124532,46,70,20,3.1
takoradi,Ghana,-2.7803970550074837,-0.0737463483312979,73,94,41,1.43
provideniya,Russian Federation,65.77049825950422,-175.2845083390977,33,80,0,2.0
roatan,Honduras,16.094930967623753,-86.48812447766711,86,74,20,1.0
ilinge,South Africa,-32.01987828325072,27.313315046662638,60,83,98,0.81
kalemie,Congo (Democratic Republic of the),-5.864546939928573,29.979436428697284,69,61,14,1.45
la asuncion,Venezuela (Bolivarian Republic of),11.227604998658066,-63.941438640349475,65,42,0,3.48
ola,Russian Federation,59.236059039115304,153.00842765472083,27,61,100,3.06
batemans bay,Australia,-38.69530395688964,152.4275095145988,60,86,100,0.45
talcahuano,Chile,-33.7564595479404,-78.73833494567316,53,100,90,2.6
suez,Egypt,29.848360499276424,33.62833082472201,70,81,0,3.81
troitskoye,Russian Federation,48.965404946125346,136.97614277994433,51,76,0,1.95
derzhavinsk,Kazakhstan,50.293150944071755,66.92703368693284,51,39,0,4.02
creston,Canada,49.28063527199575,-116.19395814962797,60,48,1,3.6
kashmor,Pakistan,28.518004237737117,69.38227112171114,76,53,0,2.01
vuktyl,Russian Federation,63.275657003823795,58.9849825548566,32,87,93,1.15
mandalgovi,Mongolia,45.56779273051242,104.6703960467483,40,62,0,6.32
tungor,Russian Federation,53.07052597232797,144.44320543096234,40,82,95,6.82
port blair,India,9.670376304345538,92.96949578252645,82,73,15,2.69
petropavlovsk-kamchatskiy,Russian Federation,46.3822984202954,164.0707505072295,41,56,40,9.0
luderitz,Namibia,-30.023839757778717,0.5553202686750467,59,82,0,6.7
garoua,Cameroon,9.599082326634402,13.180729281872914,74,90,34,0.5
nishihara,Japan,24.119949974157038,130.43321809970666,69,77,75,6.2
la rioja,Argentina,-29.80437390295277,-67.97652845116758,67,29,0,3.18
buluang,Philippines,12.789382896379877,118.08359701278403,80,83,40,2.1
kirn,Germany,49.771845216576565,7.570499526968945,50,100,90,2.6
mudon,Myanmar,15.949965275321645,98.05212505663758,76,90,100,3.02
alenquer,Brazil,0.03588084557992488,-54.44710679902097,80,78,20,1.5
roma,Australia,-28.330486952260117,144.50540058168525,66,88,0,1.5
winnemucca,United States of America,40.801038597662966,-117.10362333048445,64,17,1,1.5
doha,Qatar,23.544933109522518,52.411122288844695,89,62,20,3.6
college,United States of America,72.48371122171204,-146.07160675510278,35,86,90,2.6
asosa,Ethiopia,10.806703076902906,33.267859386985634,64,92,100,1.81
castro,Chile,-48.49160131970953,-101.17007481418281,53,62,75,6.2
pangnirtung,Canada,65.88899586306283,-65.5144455729886,24,95,100,2.06
hervey bay,Australia,-25.31171808277793,156.11703971397827,75,83,0,4.6
awbari,Libya,26.38207103340038,11.38600010139291,75,26,22,3.57
aykhal,Russian Federation,67.11668325186062,106.76910751337385,21,92,90,4.0
nelson bay,Australia,-34.75374965008826,155.60902923629544,69,88,72,6.72
kormilovka,Russian Federation,55.092774384893005,74.26491998351571,42,87,40,1.42
totoral,Bolivia (Plurinational State of),-18.80726080366152,-67.34571097122172,58,65,60,4.77
genhe,China,50.02614268514628,121.36727307043714,28,73,100,2.2
paris,United States of America,34.118689074920354,-95.74983956974046,55,76,0,5.1
teahupoo,French Polynesia,-18.749786887432478,-149.25393910343467,82,69,75,4.1
taltal,Chile,-25.185306548323652,-76.86232845096,60,59,0,1.96
port hardy,Canada,48.130538561129185,-134.2679124442365,50,93,90,3.6
isangel,Vanuatu,-22.386273007270788,177.10212135430447,77,78,40,1.5
visby,Sweden,56.99098406597585,17.507431652594732,39,80,100,3.1
necochea,Argentina,-47.659728121112515,-55.68337836558071,66,44,67,6.71
ukiah,United States of America,37.230941617740854,-127.53090835160171,89,13,1,3.31
vardo,Norway,72.68261924835468,33.10095359669023,69,82,40,4.6
cusuna,Honduras,16.027264855539897,-84.84889693953806,83,73,82,3.0
adrar,Algeria,27.820994178726906,2.565781158194227,84,15,0,6.7
dunedin,New Zealand,-56.36228904139547,178.36064354633135,45,74,64,1.07
nazas,Mexico,25.427787300203647,-104.21475457618693,77,38,39,2.58
noumea,New Caledonia,-28.687893294202055,162.140969588082,75,60,0,0.5
oytal,Kazakhstan,43.190748092459785,73.36013978694857,57,36,75,0.59
mehamn,Norway,80.56424435335657,28.582595198947473,42,75,75,4.1
kosamba,India,21.41675883127253,72.94084039213698,77,94,40,2.01
dudinka,Russian Federation,68.89629305640659,86.41274071829059,32,97,75,10.0
port hedland,Australia,-16.20806291216968,117.10222066772116,69,88,0,2.1
ushtobe,Kazakhstan,45.60998462802709,78.17757470931275,60,30,0,2.51
hamilton,Bermuda,26.799308078371254,-62.56834193375097,71,72,75,6.2
lebedinyy,Russian Federation,58.55978210898695,125.69378557182057,26,97,100,3.41
nampula,Mozambique,-14.833955391336389,38.94490047749423,71,88,0,1.0
ouesso,Congo,2.061196177224275,16.690634271890303,71,96,97,0.47
casas grandes,Mexico,30.112848930605423,-108.76443757530649,87,35,0,2.74
suwannaphum,Thailand,15.76360867799903,103.63351331211885,75,85,66,2.7
abha,Saudi Arabia,20.24665711422827,41.919020397775995,66,88,0,3.24
beisfjord,Norway,66.26960449354527,17.80055679190656,42,100,100,4.6
linkuva,Lithuania,56.31643157789955,23.888858146597357,33,89,0,3.1
sarangani,Philippines,3.373954871946225,126.29020881339557,82,71,33,3.82
tigre,Panama,11.25460999318399,-78.13573905013634,66,39,0,5.1
santiago,Philippines,7.1217868658099235,128.8273755221959,69,97,32,0.06
leningradskiy,Russian Federation,71.77663969875775,176.5489590517244,25,76,57,4.01
clyde river,Canada,67.36654783872166,-68.772470476323,28,74,40,3.1
vila franca do campo,Portugal,36.50068089075387,-22.471360244421277,73,94,75,5.7
mackay,Australia,-19.458025126434393,151.49788895445135,62,29,40,6.2
longyearbyen,Svalbard and Jan Mayen,86.39482870345816,27.583504514336425,32,89,75,2.1
kulhudhuffushi,Maldives,7.139840206921278,69.10537187205844,79,80,100,3.77
udachnyy,Russian Federation,65.49857775476676,112.5240808897691,21,92,90,4.0
jabonga,Philippines,9.350529140209034,125.36222845619864,76,82,16,1.09
kiboga,Uganda,1.0025098586902175,31.42752174552419,62,94,72,0.25
ostrovnoy,Russian Federation,71.30493230244642,43.2972694476245,30,94,84,5.31
rocha,Uruguay,-43.945586925346525,-47.36594019591635,56,80,0,3.05
poum,New Caledonia,-22.490057243622232,158.6292791778548,44,85,35,1.85
kaitangata,New Zealand,-55.34206693839208,173.6716255408914,51,65,86,1.34
at-bashi,Kyrgyzstan,41.72861851918228,75.7566708533696,41,58,0,3.01
uusikaupunki,Finland,60.43635610407762,21.10264672408104,37,100,0,1.0
avarua,Cook Islands,-74.06559851529097,-166.24147384772445,71,53,100,3.6
belaya gora,Russian Federation,69.34904429489373,147.2726634443598,18,82,100,1.87
los llanos de aridane,Spain,29.622986849397833,-24.01395123279346,73,69,75,6.7
berlin,United States of America,44.440457460709894,-70.87125666571639,44,86,0,1.5
pechenga,Russian Federation,69.68053370134047,31.177335507098405,33,96,100,5.85
voyinka,Ukraine,46.3005528207558,34.12142440348464,55,56,31,3.57
krasnovishersk,Russian Federation,60.39187894614321,56.98607877545476,39,86,100,2.24
lebrija,Spain,36.960542738449774,-6.111112808657964,89,69,75,4.1
nakamura,Japan,31.488304149158523,133.61213007834368,66,77,75,4.6
athens,United States of America,35.32022512119774,-84.19600288179383,73,64,75,2.1
kathmandu,Nepal,31.68317713279049,86.47449430295308,64,93,20,1.0
lebu,Chile,-31.419985151312545,-86.37345322839627,59,77,75,2.1
kant,Kyrgyzstan,42.62373833168286,74.739189087282,50,87,71,1.0
bonthe,Sierra Leone,3.3798040364844013,-17.00270322491221,78,87,100,4.2
pont-a-mousson,France,48.85297464272219,5.918410978626383,53,87,0,2.6
voh,New Caledonia,-21.100219513157626,164.27284295887432,70,75,58,4.73
flinders,Australia,-34.99907131408213,129.49305793066105,66,82,69,2.1
coquimbo,Chile,-25.780852217998714,-85.55019157024293,62,63,0,6.2
esmeraldas,Ecuador,3.680821954558624,-82.1535110166458,78,47,0,6.2
kaka,Turkmenistan,37.48759702212118,59.626339490467274,59,23,0,3.7
shimoda,Japan,28.502592568588014,139.7664556722812,68,79,46,1.34
lom,Bulgaria,43.71025679919495,23.23656046000903,51,64,99,5.51
esil,Kazakhstan,51.71977461161438,65.38710145201506,51,55,0,3.03
mogadishu,Somalia,-1.985258434440837,49.41588420462227,78,82,21,5.39
ossora,Russian Federation,58.91130105840867,163.34595657119598,38,99,100,4.72
mount isa,Australia,-25.769302396194973,141.91692882147697,55,32,58,5.35
zhangye,China,41.72366927599077,101.42708572885687,45,72,94,0.51
vostok,Russian Federation,47.70796328730816,147.97609703794666,34,69,3,1.96
strezhevoy,Russian Federation,62.147954719966435,78.63006311046252,44,75,0,2.0
isabela,United States of America,22.918173410766812,-66.84453698631583,80,81,80,3.58
avera,French Polynesia,-29.78767156904115,-155.5941905716038,86,48,90,4.1
guerrero,Mexico,27.166709640427115,-99.19037723975389,73,35,0,2.6
lorengau,Papua New Guinea,8.74701546096226,146.47976644115448,80,80,100,2.95
port shepstone,South Africa,-35.16421223330774,37.41411805038396,62,92,83,1.76
kasempa,Zambia,-13.978229772366163,26.299503882434237,71,42,83,2.65
canoinhas,Brazil,-26.2205880855305,-50.61565383620555,55,99,100,2.57
kloulklubed,Palau,3.655604161472354,134.69025839848945,75,94,75,1.64
oda,Japan,36.82099828411046,131.3686646300186,55,87,75,3.1
nhulunbuy,Australia,-12.708740062592412,136.94304438450962,69,94,20,4.93
klaksvik,Faroe Islands,74.70320556664504,-5.364811822447564,51,81,100,13.4
shenkursk,Russian Federation,62.0361534100341,42.3905707471786,31,94,100,1.88
buffalo,United States of America,45.28419979215772,-94.03218093532568,69,82,90,4.6
araouane,Mali,19.34440068483765,-5.688433148725778,92,11,0,1.61
ibotirama,Brazil,-12.272585222689955,-43.39593180414809,89,28,44,1.0
ishigaki,Japan,25.883684838869073,124.09932653864479,75,88,20,3.1
bambari,Central African Republic,6.282898371922684,20.48842303851032,71,93,99,0.71
puerto penasco,Mexico,31.06606423460488,-114.11127459003967,87,61,88,3.13
